jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,year
-3.6,-1.3,5.9,16.2,22.8,25.0,27.4,26.0,21.1,14.6,4.3,-4.2,12.9
-4.6,-1.4,6.2,12.6,21.9,23.8,27.4,27.3,20.7,13.6,6.3,0.1,12.8
-0.6,-0.4,10.1,17.1,22.2,25.1,28.1,26.3,21.0,14.0,6.4,-0.5,14.1
-0.5,1.3,8.8,15.5,21.5,24.9,26.8,26.7,21.0,14.7,3.6,0.2,13.7
-4.2,1.5,9.0,17.0,21.5,25.9,27.4,27.5,22.2,13.4,4.3,0.3,13.8
-1.7,2.3,9.2,17.5,23.3,25.6,27.9,26.2,23.0,12.8,4.1,-0.2,14.2
-3.2,-0.9,8.3,15.7,22.3,27.1,28.0,27.8,21.4,13.0,5.7,-2.5,13.6
-1.7,-0.8,9.7,14.7,22.3,26.3,28.0,25.9,23.1,13.3,5.8,-1.2,13.8
-1.5,1.0,9.1,15.7,21.1,26.9,26.6,26.7,21.8,13.5,6.5,-2.2,13.8
-3.4,3.1,9.5,15.2,20.4,25.4,26.7,25.7,22.0,13.1,6.1,0.7,13.7
-2.0,-0.6,7.7,16.3,21.0,25.6,27.4,26.0,22.7,13.3,6.9,-2.9,13.5
-2.1,1.8,10.7,15.2,21.8,28.2,28.9,27.3,22.8,15.8,4.9,-3.3,14.3
-1.9,0.9,9.1,16.7,21.9,27.2,27.8,27.1,21.8,13.7,7.9,0.5,14.4
-0.8,0.2,10.0,16.8,20.6,26.6,28.4,999.9,999.9,999.9,999.9,999.9,999.9
